Id,SalePrice
1461,119612.59
1462,154204.28
1463,198354.17
1464,217028.28
1465,177195.23
1466,192839.2
1467,195219.0
1468,186989.55
1469,195524.84
1470,123873.516
1471,196199.11
1472,102925.19
1473,105469.74
1474,149989.97
1475,92722.21
1476,306311.78
1477,247125.3
1478,282104.97
1479,270653.1
1480,402191.72
1481,299021.53
1482,211035.58
1483,192201.61
1484,176247.75
1485,201807.14
1486,211206.67
1487,290859.84
1488,244526.69
1489,197185.5
1490,236939.3
1491,209900.0
1492,83319.73
1493,196430.22
1494,275306.44
1495,270788.53
1496,218548.42
1497,171900.55
1498,162684.19
1499,164759.88
1500,169669.61
1501,206751.95
1502,158234.94
1503,267338.38
1504,244952.42
1505,237910.73
1506,206142.72
1507,254278.89
1508,205470.75
1509,163513.14
1510,171628.11
1511,147704.58
1512,192462.0
1513,150755.03
1514,168717.48
1515,211551.67
1516,163152.22
1517,166372.69
1518,135598.69
1519,238514.55
1520,128133.37
1521,130238.44
1522,202367.19
1523,95108.5
1524,96367.836
1525,109246.18
1526,101483.625
1527,111732.27
1528,134913.95
1529,140366.36
1530,211699.28
1531,142756.95
1532,94687.82
1533,137662.42
1534,113028.81
1535,155866.88
1536,102731.61
1537,84586.06
1538,153547.52
1539,189077.25
1540,110330.95
1541,143976.22
1542,133274.4
1543,169911.81
1544,73880.08
1545,94492.29
1546,141485.39
1547,135927.52
1548,121033.88
1549,122201.19
1550,137390.83
1551,108394.18
1552,141912.19
1553,149114.44
1554,98622.82
1555,186826.95
1556,75657.02
1557,89125.06
1558,83383.93
1559,80157.06
1560,118905.74
1561,135933.34
1562,127263.59
1563,117748.24
1564,170661.62
1565,162472.33
1566,231273.89
1567,82675.3
1568,246921.5
1569,145931.38
1570,144494.7
1571,115646.33
1572,146979.34
1573,221086.39
1574,142860.58
1575,232234.31
1576,260781.56
1577,193942.19
1578,145246.2
1579,147941.95
1580,205088.31
1581,158173.23
1582,129832.016
1583,299583.4
1584,238889.53
1585,155428.94
1586,62473.32
1587,89724.305
1588,145128.64
1589,108313.0
1590,132034.78
1591,82928.66
1592,140713.62
1593,123081.05
1594,106721.125
1595,119612.09
1596,212717.89
1597,185857.44
1598,199134.73
1599,165939.7
1600,171711.06
1601,46732.645
1602,111276.42
1603,56724.84
1604,242799.36
1605,248839.23
1606,173716.5
1607,183649.67
1608,236193.23
1609,189451.8
1610,171837.9
1611,156623.5
1612,193868.17
1613,203700.03
1614,124485.984
1615,83250.22
1616,71314.055
1617,88305.5
1618,115715.36
1619,148353.44
1620,199763.48
1621,142724.25
1622,146888.81
1623,247276.3
1624,239328.78
1625,111337.88
1626,207988.77
1627,209965.1
1628,267384.9
1629,184236.05
